id,different?,expected result,actual result,result_message different?,expected result_message (normalized),actual result_message (normalized),messages different?,expected messages (normalized),actual messages (normalized)
g10_certification-Group06-g10_smart_fine_grained_scopes-Group02-us_core_smart_standalone_launch_stu2-smart_discovery_stu2-well_known_endpoint,true,pass,,false,,,false,"",""
g10_certification-Group06-g10_smart_fine_grained_scopes-Group02-us_core_smart_standalone_launch_stu2-smart_standalone_launch_stu2,true,pass,,false,,,false,"",""
g10_certification-Group06-g10_smart_fine_grained_scopes-Group02-us_core_smart_standalone_launch_stu2,true,pass,,false,,,false,"",""
g10_certification-Group06-g10_smart_fine_grained_scopes-Group02-us_core_v610_condition_granular_scope_2_group-us_core_v610_Condition_patient_category_granular_scope_search_test,true,pass,,false,,,false,"",""
g10_certification-Group06-g10_smart_fine_grained_scopes-Group02-us_core_v610_condition_granular_scope_2_group,true,pass,,false,,,false,"",""
g10_certification-Group06-g10_smart_fine_grained_scopes-Group01,true,pass,,false,,,false,"",""
g10_certification-Group06-g10_smart_fine_grained_scopes-Group02-us_core_smart_standalone_launch_stu2-smart_discovery_stu2,true,pass,,false,,,false,"",""
g10_certification-Group06-g10_smart_fine_grained_scopes-Group02-us_core_smart_standalone_launch_stu2-smart_standalone_launch_stu2-standalone_token_tls,true,pass,,false,,,false,"! (info) ""<REFERENCE_SERVER_URL>/oauth/token accepted TLS 1.2 connection.""
! (info) ""<REFERENCE_SERVER_URL>/oauth/token accepted TLS 1.3 connection.""
! (info) ""<REFERENCE_SERVER_URL>/oauth/token correctly denied SSL 2.0 connection as required.""
! (info) ""<REFERENCE_SERVER_URL>/oauth/token correctly denied SSL 3.0 connection as required.""
! (info) ""<REFERENCE_SERVER_URL>/oauth/token correctly denied TLS 1.0 connection as required.""
! (info) ""<REFERENCE_SERVER_URL>/oauth/token correctly denied TLS 1.1 connection as required.""",""
g10_certification-Group06-g10_smart_fine_grained_scopes-Group02-us_core_smart_standalone_launch_stu2-smart_standalone_launch_stu2-smart_token_exchange,true,pass,,false,,,false,"",""
g10_certification-Group06-g10_smart_fine_grained_scopes-Group02-us_core_smart_standalone_launch_stu2-smart_standalone_launch_stu2-smart_token_response_body,true,pass,,false,,,false,"",""
g10_certification-Group06-g10_smart_fine_grained_scopes-Group02-us_core_smart_standalone_launch_stu2-smart_standalone_launch_stu2-smart_token_response_headers,true,pass,,false,,,false,"",""
g10_certification-Group06-g10_smart_fine_grained_scopes-Group02-us_core_smart_standalone_launch_stu2-smart_standalone_launch_stu2-us_core_granted_granular_scopes,true,pass,,false,,,false,"",""
g10_certification-Group06-g10_smart_fine_grained_scopes-Group02-us_core_v610_observation_granular_scope_2_group-us_core_v610_Observation_patient_code_granular_scope_search_test,true,pass,,false,,,false,"",""
g10_certification-Group06-g10_smart_fine_grained_scopes-Group02-us_core_v610_observation_granular_scope_2_group-us_core_v610_Observation_granular_scope_read_test,true,pass,,false,,,false,"",""
g10_certification-Group06-g10_smart_fine_grained_scopes,true,pass,,false,,,false,"",""
g10_certification-Group06-g10_smart_fine_grained_scopes-Group02,true,pass,,false,,,false,"",""
g10_certification-Group06-g10_smart_granular_scope_selection-smart_discovery_stu2,true,pass,,false,,,false,"",""
g10_certification-Group06-g10_smart_granular_scope_selection-g10_granular_scope_selection_v2_scopes-smart_code_received,true,pass,,false,,,false,"",""
g10_certification-Group06-g10_smart_granular_scope_selection-g10_granular_scope_selection_v2_scopes-standalone_token_tls,true,pass,,false,,,false,"! (info) ""<REFERENCE_SERVER_URL>/oauth/token accepted TLS 1.2 connection.""
! (info) ""<REFERENCE_SERVER_URL>/oauth/token accepted TLS 1.3 connection.""
! (info) ""<REFERENCE_SERVER_URL>/oauth/token correctly denied SSL 2.0 connection as required.""
! (info) ""<REFERENCE_SERVER_URL>/oauth/token correctly denied SSL 3.0 connection as required.""
! (info) ""<REFERENCE_SERVER_URL>/oauth/token correctly denied TLS 1.0 connection as required.""
! (info) ""<REFERENCE_SERVER_URL>/oauth/token correctly denied TLS 1.1 connection as required.""",""
g10_certification-Group06-g10_smart_granular_scope_selection-g10_granular_scope_selection_v2_scopes-smart_token_exchange,true,pass,,false,,,false,"",""
g10_certification-Group06-g10_smart_granular_scope_selection-g10_granular_scope_selection_v2_scopes-smart_token_response_body,true,pass,,false,,,false,"",""
g10_certification-Group06-g10_smart_granular_scope_selection-g10_granular_scope_selection_v2_scopes-g10_smart_scopes,true,pass,,false,,,false,"",""
g10_certification-Group06-g10_smart_granular_scope_selection-g10_granular_scope_selection_v2_scopes-g10_smart_granular_scope_selection,true,pass,,false,,,false,"",""
g10_certification-Group06,true,pass,,false,,,false,"",""
g10_certification-Group06-g10_smart_granular_scope_selection,true,pass,,false,,,false,"",""
g10_certification-g10_visual_inspection_and_attestations-Test01,true,pass,,false,,,false,"",""
g10_certification-g10_visual_inspection_and_attestations-Test03,true,pass,,false,,,false,"",""
g10_certification-g10_visual_inspection_and_attestations-Test05,true,pass,,false,,,false,"",""
g10_certification-g10_visual_inspection_and_attestations-Test08,true,pass,,false,,,false,"",""
g10_certification-g10_visual_inspection_and_attestations-Test10,true,pass,,false,,,false,"",""
g10_certification-g10_visual_inspection_and_attestations-g10_public_url_attestation,true,pass,,false,,,false,"",""
g10_certification-g10_visual_inspection_and_attestations-g10_tls_version_attestation,true,pass,,false,,,false,"",""
g10_certification-g10_visual_inspection_and_attestations-g10_clinical_test_scope_attestation,true,pass,,false,,,false,"",""
g10_certification,true,pass,,false,,,false,"",""
